ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
72961,Fumihiko Machida,M,27.0,172.0,70.0,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Singles,
72962,Rui Machida,F,23.0,161.0,57.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
72963,Tatsuki Machida,M,23.0,162.0,,Japan,JPN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Men's Singles,
72963,Tatsuki Machida,M,23.0,162.0,,Japan,JPN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,
72964,Hiroshi Machii,M,27.0,167.0,63.0,Japan,JPN,1994 Winter,1994,Winter,Lillehammer,Freestyle Skiing,Freestyle Skiing Men's Aerials,
72965,Yoichi Machishima,M,21.0,174.0,71.0,Japan,JPN,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",
72965,Yoichi Machishima,M,21.0,174.0,71.0,Japan,JPN,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
72983,Roberto Zuasnabar Machusso,M,22.0,174.0,70.0,Brazil,BRA,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Half-Middleweight,
73030,Jhonny MacKay,M,22.0,169.0,65.0,Ecuador,ECU,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Half-Middleweight,
73067,Duncan Terrence MacKinnon,M,26.0,,,South Africa,RSA,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Lightweight,
73130,Leslie MacPhail,M,20.0,183.0,121.0,Belgium,BEL,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Heavyweight,
73138,Giuseppina Macr,F,29.0,158.0,48.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Extra-Lightweight,
73158,Hideo Madarame,M,20.0,168.0,65.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",
73159,Makio Madarame,M,20.0,173.0,65.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
